CODE,NAME
GRAJ,Gray Jay
WIWA,Wilson's Warbler
SAVS,Savannah Sparrow
GCKI,Golden-crowned Kinglet
RCKI,Ruby-crowned Kinglet
DEJU,Dark-eyed Junco
AMRO,American Robin
HETH,Hermit Thrush
PISI,Pine Siskin
AMPI,American Pipit
GCSP,Golden-crowned Sparrow
SWTH,Swainson's Thrush
YRWA,Yellow-rumped Warbler
CHSP,Chipping Sparrow
VATH,Varied Thrush
